Constituency No.,Constituency Name,Candidate Name,Candidate Sex,Candidate Age,Candidate Category, Party Name, VALID VOTES POLLED in General, VALID VOTES POLLED in Postal, Total Valid Votes,Total Electors,Total Votes
139,KOVALAM,M.C.JAYALAL,M,52,SC,IND,933,0,933,207410,153966
139,KOVALAM,None of the Above,,,,NOTA,844,1,845,207410,153966
139,KOVALAM,PRAMOD KUMAR,M,38,GEN,IND,564,0,564,207410,153966
139,KOVALAM,SARASAMMA.T,F,61,SC,IGP,558,0,558,207410,153966
139,KOVALAM,S. SHAJI,M,38,GEN,AKTP,400,0,400,207410,153966
139,KOVALAM,M. SUGATHAN,M,44,GEN,IND,389,0,389,207410,153966
139,KOVALAM,SILVASTER,M,50,GEN,IND,373,0,373,207410,153966
140,NEYYATTINKARA,K.ANSALAN,M,59,GEN,CPM,62828,731,63559,178942,134645
140,NEYYATTINKARA,R. SELVARAJ,M,67,GEN,INC,53514,502,54016,178942,134645
140,NEYYATTINKARA,PUNCHAKKARI SURENDRAN,M,48,GEN,BJP,15452,79,15531,178942,134645
140,NEYYATTINKARA,None of the Above,,,,NOTA,691,2,693,178942,134645
140,NEYYATTINKARA,PRABHAKARAN,M,41,SC,BSP,566,0,566,178942,134645
140,NEYYATTINKARA,ANILKUMAR,M,30,GEN,IND,280,0,280,178942,134645
